algorithm,reduction_level,node_count,edge_count,time_taken,current_memory,peak_memory,number_of_communities,size_of_communities
infomap,1,367.0,9766.0,301.502507,11265.17,38001.41,15.0,31.666666666666632
infomap,2,354.0,9355.0,211.16220200000006,8969.44,36404.0,6.0,61.16666666666672
infomap,3,325.0,8404.0,194.2776029999999,8734.56,36158.88,8.0,44.25
infomap,4,322.0,8331.0,177.35782,8038.16,21822.64,3.0,108.3333333333334
infomap,5,321.0,8302.0,193.11628100000001,8008.72,21768.4,3.0,107.33333333333337
label_propagation,1,469.0,13187.0,449.18400600000007,5220.16,27851.2,8.0,59.375
label_propagation,2,469.0,13187.0,455.52695,5023.76,27890.48,2.0,234.5
label_propagation,3,469.0,13187.0,458.4638480000001,5293.68,28125.2,2.0,234.5
label_propagation,4,469.0,13187.0,457.18297000000007,5027.12,27893.84,2.0,234.5
label_propagation,5,270.0,6506.0,454.40754200000003,5227.04,28067.36,2.0,234.5
